level,position,row,col,value,increment
100,40,5,0,7,6
100,41,5,1,19,9
100,42,5,2,12,11
100,43,5,3,27,13
100,44,5,4,33,16
100,45,5,5,22,21
100,46,5,6,47,23
100,47,5,7,37,18
100,48,6,0,21,10
100,49,6,1,27,13
100,50,6,2,33,16
100,51,6,3,35,17
100,52,6,4,43,21
100,53,6,5,49,24
100,54,6,6,25,24
100,55,6,7,41,20
100,56,7,0,15,14
100,57,7,1,37,18
100,58,7,2,39,19
100,59,7,3,21,20
100,60,7,4,23,22
100,61,7,5,41,20
100,62,7,6,22,21
100,63,7,7,21,20
